	Taxon	Confidence
033f11d3cc48f389470d18d17f46187e	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Atheliales	0.813088311406819
033f7e95ffd53143e5b3e5b40f2c954f	k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales;f__Bulleribasidiaceae;g__Vishniacozyma;s__Vishniacozyma_victoriae	0.993694160450545
03408a86dafc646d60f36768ceb3cfaa	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Tricholomataceae;g__Xeromphalina;s__Xeromphalina_setulipes	0.9991091243275
034306b421d6a40402b02a5c6b30b0a2	k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Cystofilobasidiales;f__Mrakiaceae;g__Itersonilia;s__Itersonilia_perplexans	0.993408653847081
034b1a973ed264e165bcb2c1ba25cb32	k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Hyaloscyphaceae;g__Microscypha;s__unidentified	0.948994202972351
034c3e6bef38ac7b3fb4399750270410	k__Fungi;p__Ascomycota;c__Saccharomycetes;o__Saccharomycetales;f__Saccharomycetales_fam_Incertae_sedis;g__Diutina;s__Diutina_rugosa	0.999994970282999
034e65b504fd718ea6969f02f2fd5583	k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Rhytismatales;f__Rhytismataceae;g__Colpoma;s__Colpoma_quercinum	0.93638372104149
035e5e8604c62cb2c4f127b2fd70884e	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Cantharellales;f__Ceratobasidiaceae;g__Ceratobasidium;s__unidentified	0.766501043141997
036729024cfeae015dc9350c39845f9a	k__Fungi;p__Ascomycota;c__Pezizomycetes;o__Pezizales;f__Pezizaceae	0.999996494582339
0369346ffdaf1f48554bac9f937b775d	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Didymellaceae	0.95765869630806
03698cd89b8d29d9aa82f06aee6f7645	k__Fungi;p__Basidiomycota;c__Microbotryomycetes;o__Sporidiobolales;f__Sporidiobolaceae;g__Sporobolomyces;s__Sporobolomyces_roseus	0.999902180119728
